"business_id","rating","location_label","location_svm","location_logr","service_label","service_svm","service_logr","price_label","price_svm","price_logr","review_counts"
"-7smFzvh2E2fOOYs-0Dl8w",4.375,0.3077,0.3077,0.3077,0.3846,0.3846,0.3846,0.0769,-0.0769,0.0769,13
"-B3bkPTP8jyAs266Dk7VvA",4.3095,0.0556,0.0556,0.0556,0.3889,0.0556,0.2778,0.0000,0.0000,0.0000,18
"-cy8EpdXs44iT3FR4En0QA",3.9524,0.4375,0.3125,0.4375,0.4375,0.3125,0.3125,0.0000,0.0000,0.0000,16
"-jBymA8tI-WURtSBcuUdXQ",3.5789,0.0000,0.0000,0.0000,0.1429,-0.1429,-0.4286,0.0000,0.0000,0.0000,7
"-NOet8xJLGhX-eUzSIDc2Q",3.9836,0.1071,0.1071,0.1071,0.1429,0.2143,0.0000,0.0000,0.0000,0.0000,28
"-p-9eBYvts8tcalo5IWOKw",3.9815,0.1034,0.1034,0.1724,-0.1034,-0.1724,-0.1724,0.1724,0.1724,0.1724,29
"0BXtWaDWN6Lh7T8mbbZniw",2.5238,-0.1250,0.0000,0.0000,-0.8125,-0.5625,-0.4375,0.0000,0.0000,0.0000,16
"0sNQHGJCb6ckMW3P_J3oXA",3.0928,-0.0426,0.0638,0.2766,-0.2872,-0.2234,-0.2872,-0.1809,-0.1170,-0.1170,94
"18oecrR4bf-ctLvVGEaSLg",4.3182,0.1429,0.1429,0.1429,0.0714,-0.1429,0.0000,0.2857,0.1429,0.0714,28
"1OA1jo0GlK9sf68f00w8ZQ",4.2587,0.1628,0.2248,0.2713,0.1473,-0.0233,0.0078,0.2403,0.2558,0.2558,129
"1zaHqoc7FyzQW3idhf4q2A",4,0.3125,0.3125,0.3125,0.2500,-0.1250,-0.1250,-0.0625,-0.0625,0.0625,16
"1_43FZHx3P5D7X-CpIR9WA",3.6939,0.0938,0.0938,0.0938,-0.1875,-0.2500,-0.2500,-0.1875,-0.1875,-0.1875,32
"2s5tyNvj6-eEks5cNFZQMg",3.641,0.1667,0.1667,0.1667,0.4167,0.2500,0.2500,0.1250,0.1250,0.1250,24
"2voFtcyopB3jJHepouMWDQ",4.225,0.4545,0.4545,0.4545,0.2727,0.1818,0.1818,0.1364,0.1364,0.1364,22
