"name","business_id","rating","avg_location_label","avg_service_label","avg_price"
"Detroit Coney Grill","gEAB85-Zcm8Qs5JQPC_PHg",4.7269,0.9429,0.7647058824,0.756756757
"Taqueria Los Yaquis","_CIodPGuvPP2khYkDk1jKw",4.4762,0.0000,0.3333333333,0.913043478
"Chick-fil-A","DAIBZ-I6i5wEUsxEolzXBA",4.4545,1.0000,1,0
"Pita Di Vita","ukTwFX4wQW4FbQbnWI9aJg",4.3704,0.8333,0.5,0.473684211
"Luu's Chicken Bowl","iPxUYvC8tgt5rBr-IZlSeg",4.3167,0.7500,1,0.464285714
"Restaurant Atoyac Estilo Oaxaca","C9JmR3jZfGnW6xbPMCT3aQ",4.3103,0.2000,0.5,1
"In-N-Out Burger","eZyqa81qS0LuH0Bv8vfvrw",4.28,1.0000,0.7142857143,1
"In-N-Out Burger","WAqACt7FfSFcJs-gqysIlQ",4.28,1.0000,0,1
"Chipotle Mexican Grill","DScAYRPPKaqt1NBkCbibHg",4.2333,0.5000,0.8,1
"In-N-Out Burger","2voFtcyopB3jJHepouMWDQ",4.225,1.0000,0,1
"Chick-fil-A","ihMUU9D2mcgrp7fi8lmqJg",4.2162,1.0000,1,0.166666667
"MOD Pizza","lp-J_cO5owuMzGJqdn3PNg",4.2059,0.0000,0,1
"Chick-Fil-A","j-_jKQ-5IE4hqQzA-hsApw",4.1636,1.0000,0.5,1
"Firehouse Subs","yTFdhqH9eLzaP05xXQa2rw",4.1563,1.0000,0.6,0.333333333
"Freddy's Frozen Custard & Steakburgers","cRwNwAGQ8Pc_-orLefrwRw",4.1552,0.8000,0.25,0
"In-N-Out Burger","X6mWr96ibKdXQSA6mpH90g",4.1493,0.8333,1,1
"Chick-Fil-A","MpMkOGrzCEGrO0-8yoib2w",4.1481,0.5000,1,0.4
"Portillo's Hot Dogs","5fu41tfqTU_LONb95t1Dkg",4.1478,0.5849,0.4444444444,1
"In-N-Out Burger","yyahaWDdm1Hes99IZkSJPg",4.0811,0.9000,0.8571428571,0.777777778
"Goodcents Subs & Pastas","ff_QnODW0vqNWZPSTVQTsQ",4.0769,1.0000,1,1
"Chick-Fil-A","5nddZwZzT7pvC5vBjKRzoA",4.0625,0.8333,1,1
"Firehouse Subs","Pectv4bzzUVs0FQ6HQjW8g",4.0488,1.0000,0,0
"In-N-Out Burger","WjT_DJivd3I98FxDgEZpTQ",4.037,1.0000,1,1
"In-N-Out Burger","byFWmwlVSmUj-AmM6NZYvw",4.0328,0.9000,0.6,0
"In-N-Out Burger","g9jX2oXQr8zrOQgynYnYjQ",4.0093,0.9091,0.7272727273,0.785714286
"Firehouse Subs","n-iA7O3vKAgCMk3Caf2Syw",4,0.8750,0.8,1
"Chipotle Mexican Grill","-p-9eBYvts8tcalo5IWOKw",3.9815,0.8000,0.3333333333,0
"Chipotle Mexican Grill","6TWRuHn24DL6vnW8Uyu4Vw",3.98,1.0000,0.2,0
"In-N-Out Burger","EzwpoKQrHgDHwpuCUw074Q",3.9512,0.7500,0.3333333333,0
"Culver's","Y_Y91oeUrIwYa18F8ey5NQ",3.9406,0.7692,0.5833333333,0.8125
"Chipotle Mexican Grill","R2IWbpUgJQ3NRRjKQy6O_Q",3.8889,1.0000,1,1
"Chick-Fil-A","cWBqZThx4RWNzPJbJ_oXOg",3.8889,0.6667,1,0
"Culver's","cXykQLP4Sr3tNii8k-zckg",3.8889,0.8333,0.6,0
"Chipotle Mexican Grill","QJ4iodv1xkUYBSZ9y1MWVg",3.8696,1.0000,0,1
"Chick-Fil-A","Me6hKl5pjH2KCuxLZm6pzQ",3.8649,0.8750,0.3333333333,1
"Whataburger","6pd0Z40VifMh6ETJrOw_0g",3.8571,1.0000,0,0
"Chick-Fil-A","aCwCa7QMycZInFChAGU9pQ",3.84,0.7500,1,1
"Chick-Fil-A","XiCnbGY6R92Ji7r38jceZA",3.8222,0.8000,0.6666666667,1
"Potbelly Sandwich Shop","tYlwIZWPEQFvU9avTaIv3w",3.8148,1.0000,1,0.846153846
"Louisiana Fried Chicken","M6SQ1dITqcuj-sAvg8_ITg",3.8148,1.0000,0.8333333333,1
"Chipotle","Cv4kZH9zN0wpN2Drn0qkLg",3.8077,0.5000,0.7142857143,0.5
"Chipotle Mexican Grill","JGTPb06Ix_v7uq3HADzq8w",3.7941,0.6667,0,0.75
